U2,tickle_frequency,act_RF_amplitude,ratio_signal,ratio_lost,loading_signal,trapped_signal,lost_signal,time_cost
-0.17,18,,,,,,,
-0.17,148,,,,,,,
-0.18,106,,,,,,,
-0.14,56,,,,,,,
-0.13,77,,,,,,,
-0.18,41,,,,,,,
-0.18,144,,,,,,,
-0.16,165,,,,,,,
-0.15,100,,,,,,,
-0.13,87,,,,,,,
-0.15,53,,,,,,,
-0.17,120,,,,,,,
-0.14,65,,,,,,,
-0.15,77,,,,,,,
-0.13,152,,,,,,,
-0.17,136,,,,,,,
-0.17,62,,,,,,,
-0.18,198,,,,,,,
-0.13,44,,,,,,,
-0.14,109,,,,,,,
-0.17,6,,,,,,,
-0.16,151,,,,,,,
-0.18,185,,,,,,,
-0.17,174,,,,,,,
-0.14,45,,,,,,,
-0.16,129,,,,,,,
-0.13,114,,,,,,,
-0.17,2,,,,,,,
-0.16,169,,,,,,,
-0.16,178,,,,,,,
-0.18,135,,,,,,,
-0.14,37,,,,,,,
-0.15,118,,,,,,,
-0.14,136,,,,,,,
-0.16,135,,,,,,,
-0.13,71,,,,,,,
-0.17,92,,,,,,,
-0.16,80,,,,,,,
-0.13,46,,,,,,,
-0.17,97,,,,,,,
-0.15,200,,,,,,,
-0.15,83,,,,,,,
-0.13,81,,,,,,,
-0.13,122,,,,,,,
-0.18,56,,,,,,,
-0.14,186,,,,,,,
-0.15,22,,,,,,,
-0.15,27,,,,,,,
-0.15,43,,,,,,,
-0.18,27,,,,,,,
-0.14,147,,,,,,,
-0.17,28,,,,,,,
-0.16,128,,,,,,,
-0.16,104,,,,,,,
-0.17,158,,,,,,,
-0.16,4,,,,,,,
-0.13,17,,,,,,,
-0.18,95,,,,,,,
-0.14,29,,,,,,,
-0.13,157,,,,,,,
-0.16,106,,,,,,,
-0.13,91,,,,,,,
-0.14,81,,,,,,,
-0.16,54,,,,,,,
-0.15,42,,,,,,,
-0.13,185,,,,,,,
-0.17,22,,,,,,,
-0.15,60,,,,,,,
-0.16,119,,,,,,,
-0.17,146,,,,,,,
-0.18,55,,,,,,,
-0.17,52,,,,,,,
-0.18,173,,,,,,,
-0.15,131,,,,,,,
-0.13,176,,,,,,,
-0.13,26,,,,,,,
-0.17,182,,,,,,,
-0.13,50,,,,,,,
-0.16,172,,,,,,,
-0.18,12,,,,,,,
-0.13,163,,,,,,,
-0.15,62,,,,,,,
-0.16,33,,,,,,,
-0.14,158,,,,,,,
-0.15,194,,,,,,,
-0.18,85,,,,,,,
-0.16,155,,,,,,,
-0.13,159,,,,,,,
-0.14,66,,,,,,,
-0.17,70,,,,,,,
-0.13,48,,,,,,,
-0.15,115,,,,,,,
-0.18,84,,,,,,,
-0.15,137,,,,,,,
-0.13,51,,,,,,,
-0.15,121,,,,,,,
-0.16,187,,,,,,,
-0.15,184,,,,,,,
-0.18,17,,,,,,,
-0.13,32,,,,,,,
-0.13,27,,,,,,,
-0.15,9,,,,,,,
-0.17,88,,,,,,,
-0.13,83,,,,,,,
-0.18,109,,,,,,,
-0.18,138,,,,,,,
-0.18,162,,,,,,,
-0.16,59,,,,,,,
-0.16,197,,,,,,,
-0.18,157,,,,,,,
-0.14,44,,,,,,,
-0.14,139,,,,,,,
-0.13,25,,,,,,,
-0.14,62,,,,,,,
-0.18,78,,,,,,,
-0.13,134,,,,,,,
-0.13,43,,,,,,,
-0.18,194,,,,,,,
-0.18,121,,,,,,,
-0.17,115,,,,,,,
-0.14,5,,,,,,,
-0.17,176,,,,,,,
-0.17,187,,,,,,,
-0.15,122,,,,,,,
-0.14,71,,,,,,,
-0.17,149,,,,,,,
-0.13,182,,,,,,,
-0.17,200,,,,,,,
-0.16,161,,,,,,,
-0.17,160,,,,,,,
-0.18,133,,,,,,,
-0.14,143,,,,,,,
-0.17,82,,,,,,,
-0.18,74,,,,,,,
-0.14,18,,,,,,,
-0.18,92,,,,,,,
-0.15,105,,,,,,,
-0.16,46,,,,,,,
-0.14,122,,,,,,,
-0.17,71,,,,,,,
-0.14,174,,,,,,,
-0.15,124,,,,,,,
-0.18,87,,,,,,,
-0.15,14,,,,,,,
-0.16,48,,,,,,,
-0.17,177,,,,,,,
-0.16,20,,,,,,,
-0.13,49,,,,,,,
-0.18,140,,,,,,,
-0.16,112,,,,,,,
-0.13,18,,,,,,,
-0.17,23,,,,,,,
-0.13,79,,,,,,,
-0.17,85,,,,,,,
-0.13,128,,,,,,,
-0.18,163,,,,,,,
-0.15,107,,,,,,,
-0.15,37,,,,,,,
-0.13,61,,,,,,,
-0.14,190,,,,,,,
-0.13,38,,,,,,,
-0.18,176,,,,,,,
-0.13,148,,,,,,,
-0.13,141,,,,,,,
-0.15,84,,,,,,,
-0.15,25,,,,,,,
-0.17,114,,,,,,,
-0.13,137,,,,,,,
-0.17,20,,,,,,,
-0.17,161,,,,,,,
-0.13,9,,,,,,,
-0.17,151,,,,,,,
-0.15,30,,,,,,,
-0.18,67,,,,,,,
-0.15,64,,,,,,,
-0.17,153,,,,,,,
-0.18,79,,,,,,,
-0.16,49,,,,,,,
-0.14,80,,,,,,,
-0.15,18,,,,,,,
-0.15,101,,,,,,,
-0.18,125,,,,,,,
-0.13,115,,,,,,,
-0.18,36,,,,,,,
-0.15,155,,,,,,,
-0.18,174,,,,,,,
-0.17,93,,,,,,,
-0.14,200,,,,,,,
-0.14,182,,,,,,,
-0.13,45,,,,,,,
-0.16,182,,,,,,,
-0.18,199,,,,,,,
-0.14,90,,,,,,,
-0.18,7,,,,,,,
-0.15,90,,,,,,,
-0.18,159,,,,,,,
-0.14,183,,,,,,,
-0.15,2,,,,,,,
-0.16,56,,,,,,,
-0.16,37,,,,,,,
-0.16,200,,,,,,,
-0.16,116,,,,,,,
-0.14,106,,,,,,,
-0.17,193,,,,,,,
-0.16,23,,,,,,,
-0.15,199,,,,,,,
-0.17,129,,,,,,,
-0.16,81,,,,,,,
-0.13,60,,,,,,,
-0.16,156,,,,,,,
-0.14,154,,,,,,,
-0.16,67,,,,,,,
-0.18,16,,,,,,,
-0.16,30,,,,,,,
-0.13,30,,,,,,,
-0.14,199,,,,,,,
-0.17,45,,,,,,,
-0.13,36,,,,,,,
-0.18,1,,,,,,,
-0.17,126,,,,,,,
-0.15,190,,,,,,,
-0.14,163,,,,,,,
-0.13,127,,,,,,,
-0.16,38,,,,,,,
-0.13,75,,,,,,,
-0.14,16,,,,,,,
-0.14,150,,,,,,,
-0.13,178,,,,,,,
-0.16,162,,,,,,,
-0.13,103,,,,,,,
-0.18,136,,,,,,,
-0.17,197,,,,,,,
-0.17,90,,,,,,,
-0.15,93,,,,,,,
-0.14,28,,,,,,,
-0.15,161,,,,,,,
-0.17,87,,,,,,,
-0.18,164,,,,,,,
-0.16,101,,,,,,,
-0.16,11,,,,,,,
-0.18,50,,,,,,,
-0.14,102,,,,,,,
-0.17,111,,,,,,,
-0.15,198,,,,,,,
-0.16,121,,,,,,,
-0.16,142,,,,,,,
-0.16,117,,,,,,,
-0.14,160,,,,,,,
-0.13,117,,,,,,,
-0.15,49,,,,,,,
-0.16,141,,,,,,,
-0.13,135,,,,,,,
-0.15,61,,,,,,,
-0.17,155,,,,,,,
-0.16,188,,,,,,,
-0.14,79,,,,,,,
-0.16,28,,,,,,,
-0.13,198,,,,,,,
-0.14,39,,,,,,,
-0.14,111,,,,,,,
-0.18,145,,,,,,,
-0.15,73,,,,,,,
-0.16,27,,,,,,,
-0.15,99,,,,,,,
-0.17,59,,,,,,,
-0.15,54,,,,,,,
-0.16,64,,,,,,,
-0.18,6,,,,,,,
-0.13,186,,,,,,,
-0.18,2,,,,,,,
-0.18,5,,,,,,,
-0.15,47,,,,,,,
-0.14,85,,,,,,,
-0.15,129,,,,,,,
-0.15,116,,,,,,,
-0.15,80,,,,,,,
-0.13,101,,,,,,,
-0.14,43,,,,,,,
-0.15,87,,,,,,,
-0.16,110,,,,,,,
-0.14,2,,,,,,,
-0.18,103,,,,,,,
-0.13,121,,,,,,,
-0.16,47,,,,,,,
-0.16,97,,,,,,,
-0.15,144,,,,,,,
-0.15,50,,,,,,,
-0.18,77,,,,,,,
-0.18,94,,,,,,,
-0.13,89,,,,,,,
-0.18,99,,,,,,,
-0.14,184,,,,,,,
-0.15,98,,,,,,,
-0.18,102,,,,,,,
-0.18,89,,,,,,,
-0.16,72,,,,,,,
-0.18,83,,,,,,,
-0.13,76,,,,,,,
-0.13,53,,,,,,,
-0.13,191,,,,,,,
-0.15,46,,,,,,,
-0.16,133,,,,,,,
-0.16,8,,,,,,,
-0.13,16,,,,,,,
-0.13,84,,,,,,,
-0.17,17,,,,,,,
-0.14,67,,,,,,,
-0.14,94,,,,,,,
-0.15,58,,,,,,,
-0.14,105,,,,,,,
-0.17,156,,,,,,,
-0.16,18,,,,,,,
-0.16,147,,,,,,,
-0.15,40,,,,,,,
-0.17,121,,,,,,,
-0.18,146,,,,,,,
-0.17,112,,,,,,,
-0.17,144,,,,,,,
-0.14,114,,,,,,,
-0.15,28,,,,,,,
-0.16,167,,,,,,,
-0.17,105,,,,,,,
-0.15,181,,,,,,,
-0.16,39,,,,,,,
-0.18,58,,,,,,,
-0.14,72,,,,,,,
-0.16,176,,,,,,,
-0.15,150,,,,,,,
-0.16,96,,,,,,,
-0.16,63,,,,,,,
-0.18,200,,,,,,,
-0.13,181,,,,,,,
-0.16,150,,,,,,,
-0.18,131,,,,,,,
-0.17,79,,,,,,,
-0.15,74,,,,,,,
-0.16,29,,,,,,,
-0.17,181,,,,,,,
-0.17,164,,,,,,,
-0.15,188,,,,,,,
-0.15,127,,,,,,,
-0.18,20,,,,,,,
-0.16,86,,,,,,,
-0.17,104,,,,,,,
-0.13,142,,,,,,,
-0.14,140,,,,,,,
-0.14,7,,,,,,,
-0.18,181,,,,,,,
-0.13,57,,,,,,,
-0.15,117,,,,,,,
-0.16,108,,,,,,,
-0.13,59,,,,,,,
-0.17,135,,,,,,,
-0.15,132,,,,,,,
-0.15,97,,,,,,,
-0.18,15,,,,,,,
-0.15,134,,,,,,,
-0.13,166,,,,,,,
-0.13,94,,,,,,,
-0.17,163,,,,,,,
-0.17,103,,,,,,,
-0.17,180,,,,,,,
-0.17,54,,,,,,,
-0.16,183,,,,,,,
-0.15,45,,,,,,,
-0.14,177,,,,,,,
-0.15,67,,,,,,,
-0.16,144,,,,,,,
-0.13,150,,,,,,,
-0.17,162,,,,,,,
-0.15,79,,,,,,,
-0.16,57,,,,,,,
-0.18,68,,,,,,,
-0.16,62,,,,,,,
-0.13,167,,,,,,,
-0.17,110,,,,,,,
-0.17,116,,,,,,,
-0.17,99,,,,,,,
-0.17,13,,,,,,,
-0.14,194,,,,,,,
-0.14,91,,,,,,,
-0.15,35,,,,,,,
-0.13,35,,,,,,,
-0.13,86,,,,,,,
-0.17,142,,,,,,,
-0.15,3,,,,,,,
-0.17,81,,,,,,,
-0.17,42,,,,,,,
-0.18,37,,,,,,,
-0.18,151,,,,,,,
-0.15,92,,,,,,,
-0.17,108,,,,,,,
-0.13,12,,,,,,,
-0.13,123,,,,,,,
-0.14,75,,,,,,,
-0.17,31,,,,,,,
-0.14,192,,,,,,,
-0.15,78,,,,,,,
-0.14,123,,,,,,,
-0.16,198,,,,,,,
-0.13,153,,,,,,,
-0.14,23,,,,,,,
-0.14,3,,,,,,,
-0.13,190,,,,,,,
-0.16,71,,,,,,,
-0.14,113,,,,,,,
-0.16,152,,,,,,,
-0.18,139,,,,,,,
-0.17,49,,,,,,,
-0.13,158,,,,,,,
-0.15,195,,,,,,,
-0.18,86,,,,,,,
-0.17,43,,,,,,,
-0.14,173,,,,,,,
-0.17,159,,,,,,,
-0.18,80,,,,,,,
-0.14,33,,,,,,,
-0.14,195,,,,,,,
-0.18,11,,,,,,,
-0.13,175,,,,,,,
-0.14,48,,,,,,,
-0.13,78,,,,,,,
-0.15,156,,,,,,,
-0.16,127,,,,,,,
-0.14,54,,,,,,,
-0.17,63,,,,,,,
-0.17,74,,,,,,,
-0.14,185,,,,,,,
-0.18,24,,,,,,,
-0.17,127,,,,,,,
-0.16,193,,,,,,,
-0.17,65,,,,,,,
-0.15,159,,,,,,,
-0.15,153,,,,,,,
-0.18,96,,,,,,,
-0.13,98,,,,,,,
-0.17,21,,,,,,,
-0.17,27,,,,,,,
-0.14,126,,,,,,,
-0.17,77,,,,,,,
-0.17,189,,,,,,,
-0.14,164,,,,,,,
-0.15,141,,,,,,,
-0.18,62,,,,,,,
-0.18,72,,,,,,,
-0.14,100,,,,,,,
-0.14,166,,,,,,,
-0.17,80,,,,,,,
-0.18,160,,,,,,,
-0.16,181,,,,,,,
-0.18,141,,,,,,,
-0.18,116,,,,,,,
-0.14,24,,,,,,,
-0.14,27,,,,,,,
-0.13,187,,,,,,,
-0.16,130,,,,,,,
-0.14,170,,,,,,,
-0.15,160,,,,,,,
-0.16,153,,,,,,,
-0.13,105,,,,,,,
-0.14,36,,,,,,,
-0.17,14,,,,,,,
-0.13,189,,,,,,,
-0.13,8,,,,,,,
-0.13,6,,,,,,,
-0.18,183,,,,,,,
-0.13,188,,,,,,,
-0.16,2,,,,,,,
-0.14,108,,,,,,,
-0.18,112,,,,,,,
-0.18,177,,,,,,,
-0.18,169,,,,,,,
-0.13,40,,,,,,,
-0.15,187,,,,,,,
-0.17,170,,,,,,,
-0.14,130,,,,,,,
-0.18,117,,,,,,,
-0.15,104,,,,,,,
-0.15,57,,,,,,,
-0.13,102,,,,,,,
-0.14,96,,,,,,,
-0.18,64,,,,,,,
-0.18,110,,,,,,,
-0.15,146,,,,,,,
-0.18,190,,,,,,,
-0.14,59,,,,,,,
-0.16,164,,,,,,,
-0.16,118,,,,,,,
-0.18,43,,,,,,,
-0.13,108,,,,,,,
-0.14,78,,,,,,,
-0.15,167,,,,,,,
-0.16,65,,,,,,,
-0.13,55,,,,,,,
-0.14,101,,,,,,,
-0.17,133,,,,,,,
-0.14,17,,,,,,,
-0.15,130,,,,,,,
-0.18,153,,,,,,,
-0.17,51,,,,,,,
-0.15,143,,,,,,,
-0.14,151,,,,,,,
-0.14,196,,,,,,,
-0.15,44,,,,,,,
-0.18,132,,,,,,,
-0.14,191,,,,,,,
-0.15,169,,,,,,,
-0.15,183,,,,,,,
-0.17,41,,,,,,,
-0.16,185,,,,,,,
-0.16,190,,,,,,,
-0.14,82,,,,,,,
-0.18,40,,,,,,,
-0.15,162,,,,,,,
-0.16,145,,,,,,,
-0.18,34,,,,,,,
-0.14,171,,,,,,,
-0.15,170,,,,,,,
-0.13,72,,,,,,,
-0.14,135,,,,,,,
-0.16,35,,,,,,,
-0.16,10,,,,,,,
-0.16,50,,,,,,,
-0.13,184,,,,,,,
-0.17,57,,,,,,,
-0.14,9,,,,,,,
-0.15,11,,,,,,,
-0.18,54,,,,,,,
-0.14,152,,,,,,,
-0.16,25,,,,,,,
-0.18,101,,,,,,,
-0.13,112,,,,,,,
-0.18,147,,,,,,,
-0.15,111,,,,,,,
-0.15,59,,,,,,,
-0.15,120,,,,,,,
-0.15,66,,,,,,,
-0.17,199,,,,,,,
-0.14,99,,,,,,,
-0.16,3,,,,,,,
-0.13,10,,,,,,,
-0.15,5,,,,,,,
-0.18,71,,,,,,,
-0.18,39,,,,,,,
-0.13,154,,,,,,,
-0.18,91,,,,,,,
-0.16,114,,,,,,,
-0.14,83,,,,,,,
-0.13,107,,,,,,,
-0.14,50,,,,,,,
-0.15,109,,,,,,,
-0.13,90,,,,,,,
-0.13,29,,,,,,,
-0.17,48,,,,,,,
-0.14,70,,,,,,,
-0.14,198,,,,,,,
-0.16,52,,,,,,,
-0.18,66,,,,,,,
-0.18,189,,,,,,,
-0.14,13,,,,,,,
-0.17,192,,,,,,,
-0.16,91,,,,,,,
-0.17,185,,,,,,,
-0.18,21,,,,,,,
-0.15,10,,,,,,,
-0.18,170,,,,,,,
-0.16,45,,,,,,,
-0.18,119,,,,,,,
-0.16,177,,,,,,,
-0.16,43,,,,,,,
-0.14,93,,,,,,,
-0.18,137,,,,,,,
-0.13,15,,,,,,,
-0.16,78,,,,,,,
-0.14,178,,,,,,,
-0.17,125,,,,,,,
-0.17,3,,,,,,,
-0.13,67,,,,,,,
-0.13,14,,,,,,,
-0.15,68,,,,,,,
-0.15,81,,,,,,,
-0.16,158,,,,,,,
-0.17,64,,,,,,,
-0.18,182,,,,,,,
-0.18,53,,,,,,,
-0.13,125,,,,,,,
-0.15,154,,,,,,,
-0.18,32,,,,,,,
-0.17,140,,,,,,,
-0.13,192,,,,,,,
-0.17,184,,,,,,,
-0.17,55,,,,,,,
-0.15,75,,,,,,,
-0.13,97,,,,,,,
-0.13,34,,,,,,,
-0.16,195,,,,,,,
-0.17,58,,,,,,,
-0.14,161,,,,,,,
-0.18,3,,,,,,,
-0.16,42,,,,,,,
-0.14,77,,,,,,,
-0.14,172,,,,,,,
-0.17,30,,,,,,,
-0.16,66,,,,,,,
-0.16,134,,,,,,,
-0.17,132,,,,,,,
-0.14,46,,,,,,,
-0.16,34,,,,,,,
-0.16,32,,,,,,,
-0.15,178,,,,,,,
-0.14,40,,,,,,,
-0.18,29,,,,,,,
-0.13,119,,,,,,,
-0.18,124,,,,,,,
-0.16,85,,,,,,,
-0.15,82,,,,,,,
-0.18,127,,,,,,,
-0.13,11,,,,,,,
-0.16,73,,,,,,,
-0.13,126,,,,,,,
-0.15,147,,,,,,,
-0.15,166,,,,,,,
-0.18,166,,,,,,,
-0.17,113,,,,,,,
-0.14,103,,,,,,,
-0.18,158,,,,,,,
-0.14,132,,,,,,,
-0.15,113,,,,,,,
-0.18,51,,,,,,,
-0.13,165,,,,,,,
-0.14,110,,,,,,,
-0.18,143,,,,,,,
-0.15,70,,,,,,,
-0.16,157,,,,,,,
-0.15,91,,,,,,,
-0.16,90,,,,,,,
-0.17,86,,,,,,,
-0.18,196,,,,,,,
-0.16,132,,,,,,,
-0.17,32,,,,,,,
-0.15,65,,,,,,,
-0.16,159,,,,,,,
-0.18,75,,,,,,,
-0.18,8,,,,,,,
-0.16,107,,,,,,,
-0.13,136,,,,,,,
-0.17,194,,,,,,,
-0.15,125,,,,,,,
-0.16,1,,,,,,,
-0.17,68,,,,,,,
-0.17,25,,,,,,,
-0.13,194,,,,,,,
-0.16,74,,,,,,,
-0.16,88,,,,,,,
-0.15,31,,,,,,,
-0.15,140,,,,,,,
-0.14,20,,,,,,,
-0.13,65,,,,,,,
-0.13,120,,,,,,,
-0.17,171,,,,,,,
-0.16,196,,,,,,,
-0.18,48,,,,,,,
-0.16,69,,,,,,,
-0.15,158,,,,,,,
-0.17,89,,,,,,,
-0.16,87,,,,,,,
-0.13,7,,,,,,,
-0.18,19,,,,,,,
-0.16,139,,,,,,,
-0.18,82,,,,,,,
-0.14,197,,,,,,,
-0.14,167,,,,,,,
-0.18,123,,,,,,,
-0.17,36,,,,,,,
-0.16,189,,,,,,,
-0.18,108,,,,,,,
-0.18,35,,,,,,,
-0.16,94,,,,,,,
-0.17,56,,,,,,,
-0.15,8,,,,,,,
-0.17,188,,,,,,,
-0.13,22,,,,,,,
-0.16,131,,,,,,,
-0.14,128,,,,,,,
-0.13,20,,,,,,,
-0.17,67,,,,,,,
-0.17,143,,,,,,,
-0.14,84,,,,,,,
-0.15,138,,,,,,,
-0.15,20,,,,,,,
-0.13,93,,,,,,,
-0.16,171,,,,,,,
-0.18,42,,,,,,,
-0.13,195,,,,,,,
-0.18,31,,,,,,,
-0.14,31,,,,,,,
-0.17,11,,,,,,,
-0.18,129,,,,,,,
-0.15,1,,,,,,,
-0.15,51,,,,,,,
-0.13,169,,,,,,,
-0.18,150,,,,,,,
-0.13,96,,,,,,,
-0.15,16,,,,,,,
-0.15,133,,,,,,,
-0.15,19,,,,,,,
-0.14,12,,,,,,,
-0.14,98,,,,,,,
-0.15,126,,,,,,,
-0.17,134,,,,,,,
-0.15,185,,,,,,,
-0.18,111,,,,,,,
-0.14,120,,,,,,,
-0.15,86,,,,,,,
-0.15,52,,,,,,,
-0.14,30,,,,,,,
-0.17,100,,,,,,,
-0.17,157,,,,,,,
-0.17,178,,,,,,,
-0.14,168,,,,,,,
-0.18,114,,,,,,,
-0.18,180,,,,,,,
-0.14,15,,,,,,,
-0.13,82,,,,,,,
-0.13,170,,,,,,,
-0.14,63,,,,,,,
-0.13,28,,,,,,,
-0.18,134,,,,,,,
-0.14,129,,,,,,,
-0.16,89,,,,,,,
-0.16,82,,,,,,,
-0.13,1,,,,,,,
-0.13,5,,,,,,,
-0.18,46,,,,,,,
-0.16,19,,,,,,,
-0.14,133,,,,,,,
-0.17,50,,,,,,,
-0.15,112,,,,,,,
-0.16,53,,,,,,,
-0.18,186,,,,,,,
-0.16,173,,,,,,,
-0.15,95,,,,,,,
-0.17,137,,,,,,,
-0.18,187,,,,,,,
-0.13,162,,,,,,,
-0.16,154,,,,,,,
-0.14,21,,,,,,,
-0.18,33,,,,,,,
-0.16,100,,,,,,,
-0.13,68,,,,,,,
-0.18,60,,,,,,,
-0.14,145,,,,,,,
-0.15,193,,,,,,,
-0.18,81,,,,,,,
-0.18,195,,,,,,,
-0.16,120,,,,,,,
-0.15,38,,,,,,,
-0.15,179,,,,,,,
-0.17,175,,,,,,,
-0.13,145,,,,,,,
-0.13,160,,,,,,,
-0.16,192,,,,,,,
-0.13,39,,,,,,,
-0.13,13,,,,,,,
-0.15,76,,,,,,,
-0.16,184,,,,,,,
-0.17,39,,,,,,,
-0.16,113,,,,,,,
-0.14,41,,,,,,,
-0.17,72,,,,,,,
-0.13,183,,,,,,,
-0.15,55,,,,,,,
-0.18,70,,,,,,,
-0.17,179,,,,,,,
-0.15,182,,,,,,,
-0.17,53,,,,,,,
-0.15,71,,,,,,,
-0.15,32,,,,,,,
-0.18,44,,,,,,,
-0.15,135,,,,,,,
-0.17,119,,,,,,,
-0.13,131,,,,,,,
-0.17,76,,,,,,,
-0.17,12,,,,,,,
-0.16,93,,,,,,,
-0.16,7,,,,,,,
-0.17,145,,,,,,,
-0.13,52,,,,,,,
-0.16,98,,,,,,,
-0.16,70,,,,,,,
-0.16,170,,,,,,,
-0.18,57,,,,,,,
